device,subject,browser,Battery Power* [uW],Battery Status,CPU1 Frequency [kHz],CPU1 Load [%],CPU2 Frequency [kHz],CPU2 Load [%]
nexus7,httpfewvunlktn470androidindex9html,comandroidchrome,142471.61348537728,1.0,1045922.379020599,0.0,1052396.3772238898,19.726002567550285
nexus7,httpfewvunlktn470androidindex9html,comandroidchrome,142471.61348537728,1.0,1045922.379020599,0.0,1052396.3772238898,19.726002567550285
