App,Package,Start Time,Duration,Filename
"System",,"Jun 29, 2018 @ 11:39:58 AM","7 min 22 sec","Trepn_2018.06.29_113958.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,4,181695,2,2295000,2,2295000,2,0,4,13,
4,1,104,313361,102,1836000,103,1836000,103,0,104,33,
104,1,207,28218,203,586500,204,586500,204,0,206,18,
207,1,304,1032639,303,2193000,303,2193000,303,0,304,80,
304,1,404,1397655,403,2295000,404,2295000,404,0,404,100,
404,1,505,1397655,504,2295000,504,2295000,504,0,505,100,
505,1,605,1397655,604,2295000,604,2295000,604,0,605,100,
605,1,705,1257889,704,2295000,705,2295000,704,0,705,90,
705,1,806,698827,805,2295000,805,2295000,805,0,806,50,
806,1,910,1257889,909,2295000,910,2295000,909,0,910,90,
910,1,961,1397655,960,2295000,960,2295000,960,0,961,100,
961,1,1067,949579,1060,1836000,1065,1836000,1061,0,1067,100,
1090,1,1167,949579,1161,1836000,1161,1836000,1161,0,1167,100,
1167,1,1263,949579,1261,1836000,1262,1836000,1262,0,1263,100,
1263,1,1363,949579,1362,1836000,1362,1836000,1362,0,1363,100,
1363,1,1464,1397655,1462,2295000,1463,2295000,1463,0,1464,100,
1464,1,1565,1397655,1563,2295000,1563,2295000,1563,0,1565,100,
1565,1,1666,1397655,1664,2295000,1664,2295000,1664,0,1666,100,
1666,1,1765,949579,1764,1836000,1764,1836000,1764,0,1765,100,
1765,1,1865,978358,1864,2295000,1865,2295000,1864,0,1865,70,
1865,1,1966,731175,1964,1836000,1965,1836000,1965,0,1965,77,
1966,1,2066,1257889,2065,2295000,2065,2295000,2065,0,2065,90,
2066,1,2166,664705,2165,1836000,2165,1836000,2165,0,2166,70,
2166,1,2266,256386,2265,1836000,2266,1836000,2265,0,2266,27,
2266,1,2367,62791,2365,1530000,2366,1530000,2366,0,2367,9,
2367,1,2469,63686,2466,637500,2467,637500,2467,0,2469,36,
2470,1,2573,32130,2567,510000,2569,510000,2568,0,2572,25,
2573,1,2671,19459,2667,637500,2669,637500,2668,0,2670,11,
2671,1,2771,14109,2768,586500,2769,586500,2769,0,2771,9,
2771,1,2877,29418,2869,561000,2874,561000,2874,0,2876,20,
2877,1,2972,0,2969,586500,2970,586500,2970,0,2972,0,
2973,1,3076,0,3071,510000,3073,510000,3072,0,3076,0,
3076,1,3172,97675,3170,1530000,3171,1530000,3171,0,3172,14,
3172,1,3276,23133,3272,510000,3273,510000,3273,0,3276,18,
3276,1,3376,15422,3372,510000,3373,510000,3373,0,3376,12,
3376,1,3477,97298,3473,637500,3475,637500,3474,0,3477,55,
3477,1,3578,0,3574,510000,3576,510000,3575,0,3578,0,
3579,1,3679,12852,3675,510000,3677,510000,3676,0,3679,10,
3680,1,3780,17690,3777,637500,3778,637500,3778,0,3780,10,
3780,1,3878,464687,3877,2193000,3877,2193000,3877,0,3877,36,
3878,1,3978,377366,3977,2295000,3977,2295000,3977,0,3978,27,
3978,1,4083,62791,4078,510000,4080,1530000,4079,0,4082,9,
4083,1,4181,17690,4178,637500,4179,637500,4179,0,4181,10,
4181,1,4283,17690,4279,637500,4281,637500,4280,0,4282,10,
4283,1,4384,14137,4380,510000,4381,510000,4380,0,4383,11,
4384,1,4481,251164,4479,1530000,4480,1530000,4480,0,4480,36,
4481,1,4585,0,4581,637500,4583,637500,4582,0,4585,0,
4585,1,4691,0,4682,510000,4686,510000,4685,0,4691,0,
4691,1,4786,29418,4782,561000,4784,561000,4783,0,4786,20,
4786,1,4890,16180,4883,561000,4885,561000,4884,0,4890,11,
4890,1,4986,139536,4983,1530000,4984,1530000,4984,0,4985,20,
4986,1,5095,0,5084,510000,5088,510000,5085,0,5094,0,
5095,1,5189,0,5184,612000,5186,612000,5185,0,5188,0,
5189,1,5289,16670,5285,612000,5287,612000,5286,0,5289,10,
5290,1,5392,34700,5386,510000,5388,510000,5388,0,5392,27,
5392,1,5511,38556,5487,510000,5488,510000,5488,0,5511,30,
5512,1,5588,348840,5587,1530000,5588,1530000,5587,0,5588,50,
5589,1,5689,0,5688,1224000,5688,1224000,5688,0,5689,0,
