App,Package,Start Time,Duration,Filename
"System",,"Jun 29, 2018 @ 12:39:28 PM","7 min 22 sec","Trepn_2018.06.29_123928.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,34,209648,33,2295000,33,2295000,33,0,34,15,
34,1,134,642921,133,2295000,134,2295000,133,0,134,46,
134,1,239,29418,234,561000,236,561000,235,0,238,20,
239,1,336,1290799,335,2193000,335,2193000,335,0,336,100,
336,1,386,1397655,385,2295000,385,2295000,385,0,386,100,
386,1,486,1397655,485,2295000,485,2295000,485,0,486,100,
486,1,586,1397655,585,2295000,586,2295000,586,0,586,100,
586,1,687,1397655,686,2295000,686,2295000,686,0,687,100,
687,1,787,1397655,786,2295000,786,2295000,786,0,787,100,
787,1,887,1132100,886,2295000,886,2295000,886,0,887,81,
887,1,987,1229936,986,2295000,986,2295000,986,0,987,88,
987,1,1088,949579,1086,1836000,1087,1836000,1087,0,1088,100,
1088,1,1188,1161719,1187,2193000,1187,2193000,1187,0,1188,90,
1188,1,1294,949579,1292,1836000,1293,1836000,1293,0,1294,100,
1294,1,1395,949579,1393,1836000,1394,1836000,1394,0,1394,100,
1395,1,1494,1397655,1493,2295000,1493,2295000,1493,0,1494,100,
1494,1,1594,1397655,1593,2295000,1594,2295000,1594,0,1594,100,
1594,1,1696,949579,1694,1836000,1696,1836000,1695,0,1696,100,
1696,1,1795,1397655,1794,2295000,1795,2295000,1795,0,1795,100,
1795,1,1896,1397655,1895,2295000,1896,2295000,1896,0,1896,100,
1896,1,1997,1257889,1996,2295000,1996,2295000,1996,0,1997,90,
1997,1,2097,1229936,2096,2295000,2096,2295000,2096,0,2097,88,
2097,1,2197,614968,2196,2295000,2197,2295000,2197,0,2197,44,
2197,1,2298,922452,2297,2295000,2297,2295000,2297,0,2298,66,
2298,1,2398,377366,2397,2295000,2397,2295000,2397,0,2398,27,
2398,1,2498,139765,2497,2295000,2497,2295000,2497,0,2498,10,
2498,1,2599,76744,2597,1530000,2598,1530000,2598,0,2599,11,
2599,1,2702,25704,2698,510000,2700,510000,2699,0,2702,20,
2703,1,2803,23133,2799,510000,2800,510000,2799,0,2802,18,
2803,1,2900,174420,2899,1530000,2899,1530000,2899,0,2900,25,
2900,1,3004,0,3000,510000,3001,510000,3000,0,3004,0,
3004,1,3103,16670,3100,612000,3101,612000,3100,0,3103,10,
3103,1,3205,15422,3201,510000,3202,510000,3201,0,3205,12,
3205,1,3305,35381,3302,637500,3303,637500,3302,0,3305,20,
3305,1,3407,0,3403,510000,3404,535500,3404,0,3407,0,
3408,1,3509,0,3504,510000,3506,510000,3505,0,3508,0,
3509,1,3605,279072,3604,1530000,3604,1530000,3604,0,3605,40,
3605,1,3708,0,3705,586500,3706,586500,3705,0,3708,0,
3708,1,3811,0,3806,510000,3808,510000,3807,0,3810,0,
3811,1,3917,35381,3913,637500,3914,637500,3914,0,3916,20,
3917,1,4007,141987,4006,2193000,4006,2193000,4006,0,4007,11,
4007,1,4107,0,4106,1530000,4106,1530000,4106,0,4107,0,
4107,1,4211,14137,4207,510000,4208,510000,4208,0,4211,11,
4211,1,4312,0,4307,510000,4309,510000,4308,0,4311,0,
4312,1,4413,12852,4408,510000,4410,510000,4409,0,4412,10,
4413,1,4513,12852,4509,510000,4510,510000,4510,0,4513,10,
4514,1,4610,279072,4608,1530000,4609,1530000,4609,0,4610,40,
4610,1,4710,0,4709,1530000,4710,1530000,4709,0,4710,0,
4710,1,4817,23133,4811,510000,4813,510000,4812,0,4816,18,
4817,1,4912,0,4910,1530000,4911,1530000,4911,0,4912,0,
4912,1,5018,12852,5012,510000,5014,510000,5013,0,5017,10,
5018,1,5114,69768,5112,1530000,5113,1530000,5112,0,5113,10,
5114,1,5220,14137,5213,510000,5216,510000,5215,0,5219,11,
5221,1,5319,14137,5314,510000,5316,510000,5315,0,5318,11,
5319,1,5415,0,5414,1530000,5414,1530000,5414,0,5415,0,
5415,1,5518,0,5514,612000,5516,612000,5515,0,5518,0,
5518,1,5616,139536,5614,1530000,5615,1530000,5615,0,5615,20,
5616,1,5719,12852,5715,510000,5716,510000,5716,0,5719,10,
5719,1,5817,0,5815,1530000,5816,1530000,5816,0,5817,0,
5817,1,5921,0,5917,637500,5918,637500,5918,0,5920,0,
5921,1,6022,15677,6018,586500,6019,586500,6018,0,6021,10,
6022,1,6120,69768,6118,1530000,6119,1530000,6119,0,6120,10,
6120,1,6227,44059,6220,739500,6221,739500,6221,0,6225,20,
6227,1,6322,125582,6320,1530000,6321,1530000,6321,0,6322,18,
6322,1,6424,418607,6422,1530000,6423,1530000,6422,0,6424,60,
6424,1,6523,62791,6522,1530000,6523,1530000,6522,0,6523,9,
6523,1,6624,139536,6623,1530000,6623,1530000,6623,0,6624,20,
6624,1,6730,11566,6724,510000,6726,510000,6725,0,6729,9,
6730,1,6825,76744,6823,1530000,6824,1530000,6824,0,6825,11,
6825,1,6929,0,6925,637500,6927,637500,6926,0,6928,0,
6929,1,7030,0,7026,586500,7028,586500,7027,0,7030,0,
7031,1,7129,0,7126,637500,7127,637500,7127,0,7129,0,
7129,1,7244,35381,7230,510000,7237,637500,7235,0,7243,20,
7244,1,7329,230234,7327,1530000,7328,1530000,7328,0,7329,33,
7329,1,7432,13767,7428,535500,7430,535500,7429,0,7432,10,
7432,1,7544,46267,7529,510000,7530,510000,7530,0,7543,36,
7544,1,7634,28274,7630,510000,7631,510000,7631,0,7634,22,
7634,1,7735,0,7730,510000,7732,510000,7731,0,7734,0,
7735,1,7835,25704,7831,510000,7833,510000,7832,0,7835,20,
7835,1,7940,12852,7932,510000,7935,510000,7934,0,7939,10,
7940,1,8038,0,8033,510000,8035,510000,8034,0,8037,0,
8038,1,8138,13767,8134,535500,8135,535500,8135,0,8138,10,
8138,1,8239,15422,8235,510000,8237,510000,8236,0,8239,12,
8240,1,8341,14137,8335,510000,8338,510000,8336,0,8341,11,
8341,1,8439,47764,8435,637500,8437,637500,8436,0,8439,27,
8439,1,8553,38556,8545,510000,8547,510000,8546,0,8552,30,
8553,1,8641,21228,8637,637500,8638,637500,8638,0,8640,12,
8641,1,8744,12852,8738,510000,8740,510000,8739,0,8743,10,
8744,1,8843,12852,8839,510000,8840,510000,8840,0,8843,10,
8844,1,8944,25704,8939,510000,8941,510000,8940,0,8944,20,
8944,1,9041,69768,9039,1530000,9040,1530000,9040,0,9041,10,
9041,1,9146,23133,9141,510000,9143,510000,9142,0,9145,18,
9146,1,9247,12852,9242,510000,9244,510000,9243,0,9247,10,
9248,1,9346,14137,9342,510000,9344,510000,9343,0,9346,11,
9347,1,9448,23133,9443,510000,9445,510000,9444,0,9448,18,
9448,1,9544,0,9543,1530000,9544,1530000,9543,0,9544,0,
9545,1,9648,0,9645,510000,9646,510000,9646,0,9648,0,
9648,1,9748,0,9745,510000,9746,510000,9745,0,9748,0,
9748,1,9850,0,9845,510000,9847,510000,9846,0,9850,0,
9850,1,9946,0,9945,1530000,9945,1530000,9945,0,9946,0,
9946,1,10047,0,10045,1530000,10046,1530000,10046,0,10046,0,
10047,1,10151,12852,10147,510000,10148,510000,10148,0,10150,10,
10151,1,10249,0,10247,1530000,10248,1530000,10247,0,10249,0,
10249,1,10353,0,10349,510000,10350,510000,10350,0,10352,0,
10353,1,10450,125582,10449,1530000,10450,1530000,10449,0,10450,18,
10451,1,10556,47764,10550,637500,10551,637500,10551,0,10554,27,
10556,1,10652,0,10650,1530000,10651,1530000,10651,0,10652,0,
10652,1,10755,12852,10751,510000,10753,510000,10752,0,10755,10,
10755,1,10855,209303,10853,510000,10854,1530000,10853,0,10855,30,
10855,1,10954,69768,10953,1530000,10953,1530000,10953,0,10954,10,
10954,1,11061,0,11054,510000,11058,510000,11058,0,11061,0,
11061,1,11159,47764,11154,637500,11156,637500,11155,0,11157,27,
11159,1,11278,45011,11258,510000,11268,612000,11261,0,11276,27,
11279,1,11358,97675,11356,1530000,11357,1530000,11357,0,11358,14,
11358,1,11462,12852,11458,510000,11459,510000,11458,0,11461,10,
11462,1,11563,61682,11558,612000,11560,612000,11559,0,11562,37,
11563,1,11662,41723,11659,765000,11660,765000,11660,0,11662,18,
11662,1,11766,23133,11760,510000,11761,510000,11760,0,11765,18,
11766,1,11861,0,11860,1530000,11860,1530000,11860,0,11861,0,
11861,1,11963,0,11961,1530000,11961,1530000,11961,0,11963,0,
11963,1,12067,23133,12062,510000,12064,510000,12063,0,12067,18,
12068,1,12163,139536,12162,1530000,12162,1530000,12162,0,12163,20,
12164,1,12264,209303,12262,1530000,12263,1530000,12263,0,12264,30,
12264,1,12369,0,12364,510000,12366,510000,12365,0,12368,0,
12369,1,12468,0,12463,1530000,12466,510000,12465,0,12468,0,
12468,1,12565,139536,12564,1530000,12564,1530000,12564,0,12565,20,
12565,1,12665,0,12664,1530000,12664,1530000,12664,0,12665,0,
12666,1,12769,0,12765,637500,12766,637500,12766,0,12769,0,
12769,1,12871,0,12865,510000,12868,510000,12867,0,12871,0,
12872,1,12966,0,12965,1530000,12966,1530000,12965,0,12966,0,
12967,1,13070,16180,13066,561000,13067,561000,13067,0,13070,11,
13070,1,13171,28274,13167,510000,13168,510000,13167,0,13170,22,
13171,1,13271,14137,13267,510000,13269,510000,13268,0,13271,11,
13272,1,13372,12852,13368,510000,13370,510000,13369,0,13372,10,
13372,1,13473,14137,13469,510000,13470,510000,13470,0,13473,11,
13473,1,13572,251164,13570,1530000,13571,1530000,13570,0,13572,36,
13572,1,13676,12852,13671,510000,13673,510000,13672,0,13676,10,
13677,1,13772,0,13771,1530000,13771,1530000,13771,0,13772,0,
13772,1,13877,34700,13872,510000,13874,510000,13873,0,13877,27,
13878,1,13973,69768,13972,1530000,13972,1530000,13972,0,13973,10,
13973,1,14085,125582,14073,1530000,14084,1530000,14083,0,14085,18,
