App,Package,Start Time,Duration,Filename
"System",,"Jun 24, 2018 @ 09:35:54 PM","1 min 1 sec","Trepn_2018.06.24_213554.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,33,321460,32,2295000,32,2295000,32,0,33,23,
33,1,133,425963,132,2193000,132,2193000,132,0,133,33,
133,1,233,698827,232,2295000,233,2295000,232,0,233,50,
233,1,334,139765,333,2295000,333,2295000,333,0,334,10,
334,1,434,279531,433,2295000,433,2295000,433,0,434,20,
434,1,534,0,533,2295000,534,2295000,534,0,534,0,
534,1,635,0,634,2295000,634,2295000,634,0,635,0,
635,1,685,279531,684,2295000,685,2295000,684,0,685,20,
685,1,786,978358,784,2295000,785,2295000,785,0,786,70,
786,1,886,949579,885,1836000,885,1836000,885,0,886,100,
886,1,986,1397655,985,2295000,985,2295000,985,0,986,100,
986,1,1088,861451,1086,1734000,1087,1734000,1086,0,1088,100,
1088,1,1189,861451,1187,1734000,1187,1734000,1187,0,1188,100,
1189,1,1288,949579,1287,1836000,1287,1836000,1287,0,1288,100,
1288,1,1388,949579,1387,1836000,1387,1836000,1387,0,1388,100,
1388,1,1491,949579,1489,1836000,1490,1836000,1489,0,1490,100,
1491,1,1591,861451,1590,1734000,1590,1734000,1590,0,1591,100,
1591,1,1698,1397655,1691,2295000,1691,2295000,1691,0,1698,100,
1698,1,1791,1397655,1790,2295000,1791,2295000,1790,0,1791,100,
1791,1,1892,949579,1891,1836000,1891,1836000,1891,0,1892,100,
1892,1,1993,949579,1991,1836000,1992,1836000,1992,0,1993,100,
1997,1,2093,861451,2092,1734000,2092,1734000,2092,0,2093,100,
2093,1,2194,1188106,2192,2091000,2193,2091000,2193,0,2193,100,
2194,1,2294,569747,2292,1836000,2293,1836000,2293,0,2294,60,
2294,1,2394,645399,2393,2193000,2393,2193000,2393,0,2394,50,
2394,1,2494,104453,2493,1836000,2493,1836000,2493,0,2494,11,
2494,1,2594,1132100,2593,2295000,2594,2295000,2593,0,2594,81,
2594,1,2695,517132,2693,2295000,2694,2295000,2694,0,2694,37,
2695,1,2795,251577,2794,2295000,2794,2295000,2794,0,2795,18,
2795,1,2903,34700,2897,510000,2899,510000,2898,0,2902,27,
2903,1,3003,25704,2998,510000,3000,510000,2999,0,3003,20,
3004,1,3107,14137,3099,510000,3102,510000,3101,0,3106,11,
3108,1,3200,306979,3198,1530000,3199,1530000,3199,0,3200,44,
3201,1,3300,348515,3299,2193000,3300,2193000,3299,0,3300,27,
3301,1,3401,125582,3399,1530000,3400,1530000,3400,0,3401,18,
3401,1,3505,25704,3501,510000,3502,510000,3502,0,3505,20,
3505,1,3610,0,3602,510000,3605,510000,3604,0,3609,0,
3611,1,3705,32360,3702,561000,3703,561000,3702,0,3705,22,
3705,1,3804,76744,3802,1530000,3803,1530000,3802,0,3804,11,
3804,1,3903,0,3901,2193000,3902,2193000,3902,0,3903,0,
3903,1,4005,31843,4002,637500,4003,637500,4003,0,4005,18,
4005,1,4106,0,4103,637500,4104,637500,4104,0,4106,0,
4106,1,4204,233245,4203,1632000,4203,1632000,4203,0,4204,30,
4204,1,4304,562609,4303,1938000,4303,1938000,4303,0,4304,54,
4304,1,4408,17690,4404,637500,4406,637500,4406,0,4408,10,
4409,1,4506,307484,4504,2295000,4505,2295000,4505,0,4506,22,
4506,1,4610,0,4605,510000,4607,510000,4606,0,4610,0,
4611,1,4710,17690,4706,637500,4707,637500,4707,0,4710,10,
4711,1,4810,19459,4806,637500,4808,637500,4807,0,4810,11,
4810,1,4913,52953,4907,561000,4908,561000,4908,0,4912,36,
4913,1,5009,69768,5007,1530000,5008,1530000,5007,0,5009,10,
5010,1,5112,30007,5108,612000,5109,612000,5109,0,5111,18,
5112,1,5209,342093,5208,1632000,5208,1632000,5208,0,5209,44,
5209,1,5310,111628,5308,1530000,5309,1530000,5309,0,5310,16,
5310,1,5410,230234,5409,1530000,5409,1530000,5409,0,5410,33,
5410,1,5510,111628,5509,1530000,5509,1530000,5509,0,5510,16,
5510,1,5613,31354,5610,586500,5611,586500,5611,0,5613,20,
5614,1,5714,23133,5711,510000,5712,510000,5711,0,5714,18,
5715,1,5812,188373,5811,1530000,5811,1530000,5811,0,5812,27,
5812,1,5912,153489,5911,1530000,5912,1530000,5911,0,5912,22,
5912,1,6016,25704,6012,510000,6014,510000,6013,0,6016,20,
6016,1,6115,313955,6112,1530000,6113,1530000,6113,0,6115,45,
6115,1,6214,388742,6212,1632000,6213,1632000,6213,0,6214,50,
6214,1,6314,195350,6313,1530000,6313,1530000,6313,0,6314,28,
6314,1,6418,12852,6414,510000,6416,510000,6415,0,6418,10,
6418,1,6517,569747,6514,1836000,6515,1836000,6515,0,6517,60,
6517,1,6616,0,6614,2193000,6615,2193000,6615,0,6615,0,
6616,1,6723,17690,6716,637500,6719,637500,6717,0,6723,10,
6723,1,6821,14137,6817,510000,6818,510000,6818,0,6821,11,
