App,Package,Start Time,Duration,Filename
"System",,"Jun 25, 2018 @ 09:28:07 AM","1 min 1 sec","Trepn_2018.06.25_092807.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
15,1,15,181695,0,2295000,9,2295000,9,0,15,13,
20,1,111,427310,110,1836000,110,1836000,110,0,111,45,
111,1,211,153489,210,1530000,210,1530000,210,0,211,22,
211,1,312,499641,310,1734000,311,1734000,311,0,312,58,
312,1,412,1397655,411,2295000,411,2295000,411,0,412,100,
412,1,512,1397655,511,2295000,511,2295000,511,0,512,100,
512,1,612,1397655,611,2295000,612,2295000,612,0,612,100,
612,1,712,1397655,711,2295000,712,2295000,712,0,712,100,
713,1,813,1397655,812,2295000,812,2295000,812,0,813,100,
813,1,913,1118124,912,2295000,913,2295000,913,0,913,80,
913,1,1014,949579,1013,1836000,1013,1836000,1013,0,1014,100,
1014,1,1114,1397655,1113,2295000,1114,2295000,1114,0,1114,100,
1114,1,1217,949579,1216,1836000,1217,1836000,1216,0,1217,100,
1217,1,1318,1290799,1317,2193000,1317,2193000,1317,0,1318,100,
1318,1,1418,1397655,1417,2295000,1418,2295000,1418,0,1418,100,
1419,1,1519,1397655,1518,2295000,1518,2295000,1518,0,1519,100,
1519,1,1620,949579,1618,1836000,1619,1836000,1618,0,1619,100,
1620,1,1719,1397655,1718,2295000,1719,2295000,1718,0,1719,100,
1719,1,1820,854621,1819,1836000,1819,1836000,1819,0,1820,90,
1820,1,1920,949579,1919,1836000,1919,1836000,1919,0,1920,100,
1920,1,2020,1229936,2019,2295000,2019,2295000,2019,0,2020,88,
2020,1,2120,0,2119,2295000,2120,2295000,2119,0,2120,0,
2120,1,2220,139765,2219,2295000,2220,2295000,2220,0,2220,10,
2220,1,2321,251577,2320,2295000,2320,2295000,2320,0,2321,18,
2321,1,2425,0,2421,535500,2423,535500,2422,0,2425,0,
2425,1,2522,230234,2521,1530000,2522,1530000,2522,0,2522,33,
2523,1,2624,30624,2622,918000,2623,918000,2622,0,2624,10,
2624,1,2731,12852,2723,510000,2726,510000,2724,0,2730,10,
2731,1,2824,76744,2822,1530000,2823,1530000,2823,0,2824,11,
2824,1,2929,28218,2926,586500,2927,586500,2926,0,2929,18,
2929,1,3035,348840,3028,510000,3034,1530000,3033,0,3035,50,
3035,1,3128,0,3127,1530000,3127,1530000,3127,0,3128,0,
3128,1,3235,11566,3228,510000,3231,510000,3230,0,3235,9,
3236,1,3329,83721,3328,1530000,3328,1530000,3328,0,3329,12,
3329,1,3433,32130,3429,510000,3431,510000,3430,0,3433,25,
3434,1,3535,38556,3530,510000,3532,510000,3531,0,3534,30,
3535,1,3637,0,3631,510000,3634,510000,3633,0,3636,0,
3637,1,3736,0,3731,510000,3733,510000,3733,0,3736,0,
3737,1,3836,16180,3832,561000,3834,561000,3833,0,3836,11,
3837,1,3934,348840,3932,1530000,3933,1530000,3932,0,3934,50,
3934,1,4033,1257889,4032,2295000,4032,2295000,4032,0,4033,90,
4033,1,4138,0,4133,510000,4134,510000,4134,0,4137,0,
4138,1,4234,69768,4233,1530000,4233,1530000,4233,0,4234,10,
4235,1,4338,0,4334,510000,4336,510000,4335,0,4338,0,
4338,1,4440,12852,4435,510000,4437,510000,4436,0,4439,10,
4440,1,4536,139536,4535,1530000,4535,1530000,4535,0,4536,20,
4536,1,4640,0,4636,535500,4637,535500,4637,0,4640,0,
4640,1,4743,38556,4737,510000,4739,510000,4738,0,4742,30,
4743,1,4838,69768,4837,1530000,4837,1530000,4837,0,4838,10,
4838,1,4943,13767,4938,535500,4940,535500,4939,0,4943,10,
4943,1,5041,306979,5038,1530000,5039,1530000,5039,0,5040,44,
5041,1,5141,29318,5138,1530000,5139,892500,5139,0,5141,10,
5141,1,5242,62791,5240,1530000,5241,1530000,5240,0,5242,9,
5242,1,5341,69768,5339,1530000,5340,1530000,5340,0,5341,10,
5341,1,5444,14709,5440,561000,5442,561000,5441,0,5444,10,
5444,1,5546,15677,5543,586500,5544,586500,5544,0,5546,10,
5546,1,5645,0,5643,1530000,5644,1530000,5644,0,5645,0,
5645,1,5751,11566,5746,510000,5748,510000,5747,0,5751,9,
5751,1,5851,12852,5844,510000,5847,510000,5845,0,5850,10,
5851,1,5946,0,5944,1530000,5945,1530000,5945,0,5946,0,
5946,1,6048,153489,6046,1530000,6047,1530000,6046,0,6048,22,
6048,1,6148,31956,6146,943500,6147,943500,6146,0,6148,10,
6148,1,6250,59424,6247,688500,6248,688500,6248,0,6250,30,
6250,1,6352,16670,6348,612000,6349,612000,6348,0,6352,10,
6352,1,6464,11566,6450,510000,6457,510000,6455,0,6464,9,
6464,1,6552,26790,6549,1530000,6550,790500,6549,0,6551,11,
6552,1,6655,0,6650,510000,6652,510000,6651,0,6655,0,
6656,1,6755,35381,6750,637500,6752,637500,6752,0,6754,20,
6755,1,6859,0,6851,510000,6854,510000,6852,0,6858,0,
6859,1,6956,35381,6952,637500,6953,637500,6953,0,6956,20,
6956,1,7056,44226,7053,637500,7054,637500,7054,0,7056,25,
7056,1,7157,0,7153,510000,7155,510000,7154,0,7157,0,
7157,1,7258,17690,7254,637500,7255,637500,7255,0,7257,10,
7258,1,7361,0,7354,510000,7356,510000,7355,0,7360,0,
7361,1,7456,76744,7454,1530000,7455,1530000,7454,0,7455,11,
7456,1,7561,13238,7556,561000,7557,561000,7557,0,7560,9,
7561,1,7662,31843,7657,637500,7659,637500,7658,0,7661,18,
7662,1,7763,17690,7759,637500,7760,637500,7760,0,7762,10,
7763,1,7866,12852,7860,510000,7862,510000,7861,0,7865,10,
7866,1,7968,0,7960,510000,7963,510000,7962,0,7968,0,
7968,1,8075,53071,8070,637500,8072,637500,8071,0,8074,30,
8075,1,8176,0,8171,510000,8173,510000,8172,0,8175,0,
8176,1,8277,0,8272,510000,8274,510000,8273,0,8276,0,
8277,1,8378,25704,8372,510000,8374,510000,8373,0,8378,20,
8379,1,8476,0,8472,510000,8473,510000,8473,0,8475,0,
8476,1,8578,0,8573,561000,8575,561000,8574,0,8578,0,
8579,1,8677,15144,8673,535500,8675,535500,8674,0,8677,11,
