device,subject,browser,Battery Power* [uW],Battery Status,CPU1 Frequency [kHz],CPU1 Load [%],CPU2 Frequency [kHz],CPU2 Load [%]
nexus7,httpsadhiviraptgithubioblah2,comandroidchrome,125091.69361616697,1.0,1032309.5501705116,0.0,1036969.5493124492,19.25014696148057
nexus7,httpsadhiviraptgithubioblah2,comandroidchrome,125091.69361616697,1.0,1032309.5501705116,0.0,1036969.5493124492,19.25014696148057
nexus7,httpsadhiviraptgithubioblah2,comandroidchrome,125091.69361616697,1.0,1032309.5501705116,0.0,1036969.5493124492,19.25014696148057
