App,Package,Start Time,Duration,Filename
"System",,"Jun 19, 2018 @ 10:36:44 PM","1 min 2 sec","Trepn_2018.06.19_223644.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
2,1,2,195671,0,2295000,1,2295000,1,0,2,14,
20,1,103,534647,102,2091000,102,2091000,102,0,103,45,
103,1,204,1006311,203,2295000,204,2295000,203,0,204,72,
204,1,305,1397655,304,2295000,304,2295000,304,0,305,100,
305,1,406,1188106,404,2091000,405,2091000,405,0,406,100,
406,1,506,1397655,504,2295000,505,2295000,505,0,506,100,
506,1,607,1397655,605,2295000,606,2295000,605,0,607,100,
607,1,706,1397655,705,2295000,705,2295000,705,0,706,100,
706,1,806,1397655,805,2295000,806,2295000,806,0,806,100,
806,1,909,1048241,907,2295000,908,2295000,908,0,909,75,
909,1,1008,1397655,1007,2295000,1008,2295000,1008,0,1008,100,
1008,1,1109,1229936,1108,2295000,1108,2295000,1108,0,1109,88,
1109,1,1210,1188106,1208,2091000,1209,2091000,1209,0,1210,100,
1210,1,1314,1397655,1313,2295000,1313,2295000,1313,0,1314,100,
1314,1,1415,1397655,1413,2295000,1414,2295000,1414,0,1415,100,
1415,1,1527,1188106,1514,2091000,1515,2091000,1514,0,1524,100,
1527,1,1615,1188106,1614,2091000,1615,2091000,1615,0,1615,100,
1615,1,1716,1188106,1715,2091000,1715,2091000,1715,0,1716,100,
1716,1,1819,1397655,1816,2295000,1816,2295000,1816,0,1819,100,
1819,1,1918,1397655,1917,2295000,1917,2295000,1917,0,1918,100,
1918,1,2018,1397655,2017,2295000,2017,2295000,2017,0,2018,100,
2018,1,2165,1397655,2117,2295000,2117,2295000,2117,0,2165,100,
2165,1,2219,1397655,2217,2295000,2218,2295000,2218,0,2219,100,
2219,1,2319,1397655,2318,2295000,2318,2295000,2318,0,2319,100,
2319,1,2420,1397655,2419,2295000,2419,2295000,2419,0,2420,100,
2420,1,2520,1397655,2519,2295000,2519,2295000,2519,0,2520,100,
2520,1,2620,1397655,2619,2295000,2620,2295000,2619,0,2620,100,
2620,1,2720,1397655,2719,2295000,2720,2295000,2720,0,2720,100,
2721,1,2821,1397655,2820,2295000,2820,2295000,2820,0,2821,100,
2821,1,2922,1397655,2920,2295000,2921,2295000,2920,0,2922,100,
2922,1,3021,1397655,3020,2295000,3021,2295000,3021,0,3021,100,
3021,1,3122,1132100,3121,2295000,3121,2295000,3121,0,3122,81,
3122,1,3222,1397655,3221,2295000,3221,2295000,3221,0,3222,100,
3222,1,3322,1397655,3321,2295000,3322,2295000,3321,0,3322,100,
3322,1,3423,1118124,3421,2295000,3422,2295000,3422,0,3423,80,
3423,1,3525,1397655,3524,2295000,3524,2295000,3524,0,3525,100,
3525,1,3625,1397655,3624,2295000,3624,2295000,3624,0,3625,100,
3625,1,3725,1397655,3724,2295000,3725,2295000,3724,0,3725,100,
3725,1,3826,1397655,3824,2295000,3825,2295000,3825,0,3826,100,
3826,1,3926,1397655,3925,2295000,3925,2295000,3925,0,3926,100,
3926,1,4026,1397655,4025,2295000,4026,2295000,4025,0,4026,100,
4027,1,4127,1397655,4126,2295000,4126,2295000,4126,0,4127,100,
4127,1,4227,1397655,4226,2295000,4226,2295000,4226,0,4227,100,
4227,1,4328,1397655,4326,2295000,4326,2295000,4326,0,4328,100,
4328,1,4427,1397655,4426,2295000,4427,2295000,4427,0,4427,100,
4427,1,4528,1397655,4527,2295000,4527,2295000,4527,0,4528,100,
4528,1,4629,1397655,4628,2295000,4628,2295000,4628,0,4629,100,
4629,1,4730,1397655,4728,2295000,4729,2295000,4728,0,4730,100,
4730,1,4832,1397655,4828,2295000,4829,2295000,4829,0,4832,100,
4832,1,4931,1397655,4930,2295000,4930,2295000,4930,0,4931,100,
4931,1,5030,1397655,5029,2295000,5030,2295000,5030,0,5030,100,
5030,1,5131,1397655,5130,2295000,5130,2295000,5130,0,5131,100,
5116,1,5231,1397655,5230,2295000,5230,2295000,5230,0,5231,100,
5131,1,5332,1397655,5330,2295000,5331,2295000,5331,0,5331,100,
5231,1,5435,1397655,5434,2295000,5434,2295000,5434,0,5435,100,
5332,1,5536,1397655,5534,2295000,5535,2295000,5535,0,5535,100,
5435,1,5636,1397655,5635,2295000,5635,2295000,5635,0,5636,100,
5536,1,5736,1397655,5735,2295000,5735,2295000,5735,0,5736,100,
5636,1,5837,1397655,5835,2295000,5836,2295000,5836,0,5837,100,
5736,1,5937,1397655,5935,2295000,5936,2295000,5936,0,5936,100,
5837,1,6037,1397655,6036,2295000,6036,2295000,6036,0,6037,100,
5937,1,6141,1397655,6140,2295000,6140,2295000,6140,0,6141,100,
6037,1,6237,1397655,6236,2295000,6237,2295000,6236,0,6237,100,
6141,1,6338,1397655,6336,2295000,6337,2295000,6337,0,6337,100,
6237,1,6438,1397655,6437,2295000,6438,2295000,6437,0,6438,100,
6338,1,6538,1397655,6537,2295000,6538,2295000,6538,0,6538,100,
6438,1,6639,1397655,6638,2295000,6638,2295000,6638,0,6639,100,
6539,1,6739,1397655,6738,2295000,6738,2295000,6738,0,6739,100,
6639,1,6839,1397655,6838,2295000,6838,2295000,6838,0,6839,100,
6739,1,6940,1188106,6938,2091000,6939,2091000,6939,0,6940,100,
6839,1,7040,1397655,7039,2295000,7039,2295000,7039,0,7040,100,
6940,1,7141,1397655,7140,2295000,7140,2295000,7140,0,7141,100,
7040,1,7241,1397655,7240,2295000,7240,2295000,7240,0,7241,100,
7141,1,7341,1397655,7340,2295000,7341,2295000,7340,0,7341,100,
7241,1,7442,1397655,7440,2295000,7441,2295000,7441,0,7441,100,
7341,1,7542,1397655,7541,2295000,7541,2295000,7541,0,7542,100,
7442,1,7642,1397655,7641,2295000,7641,2295000,7641,0,7642,100,
7542,1,7744,1397655,7743,2295000,7743,2295000,7743,0,7744,100,
7642,1,7844,1397655,7843,2295000,7843,2295000,7843,0,7844,100,
7744,1,7945,1397655,7944,2295000,7944,2295000,7944,0,7945,100,
7844,1,8045,1397655,8044,2295000,8044,2295000,8044,0,8045,100,
7945,1,8146,1257889,8144,2295000,8145,2295000,8145,0,8145,90,
8045,1,8247,1397655,8246,2295000,8247,2295000,8247,0,8247,100,
8146,1,8348,1397655,8346,2295000,8347,2295000,8347,0,8348,100,
8247,1,8450,1397655,8447,2295000,8450,2295000,8450,0,8450,100,
8348,1,8548,1397655,8547,2295000,8548,2295000,8548,0,8548,100,
8450,1,8649,1397655,8648,2295000,8648,2295000,8648,0,8649,100,
8548,1,8750,1397655,8748,2295000,8748,2295000,8748,0,8750,100,
8649,1,8849,1397655,8848,2295000,8849,2295000,8849,0,8849,100,
8750,1,8950,1397655,8949,2295000,8949,2295000,8949,0,8949,100,
8849,1,9050,1397655,9049,2295000,9049,2295000,9049,0,9050,100,
8950,1,9150,1397655,9149,2295000,9150,2295000,9149,0,9150,100,
9050,1,9252,1397655,9251,2295000,9251,2295000,9251,0,9252,100,
9150,1,9352,1397655,9351,2295000,9351,2295000,9351,0,9352,100,
9252,1,9453,1397655,9451,2295000,9452,2295000,9451,0,9453,100,
9352,1,9552,1397655,9551,2295000,9552,2295000,9552,0,9552,100,
9453,1,9653,1397655,9652,2295000,9652,2295000,9652,0,9653,100,
9552,1,9753,1397655,9752,2295000,9752,2295000,9752,0,9753,100,
9653,1,9853,1257889,9852,2295000,9853,2295000,9852,0,9853,90,
9753,1,9953,1397655,9952,2295000,9953,2295000,9953,0,9953,100,
9853,1,10054,1257889,10053,2295000,10053,2295000,10053,0,10054,90,
9953,1,10154,1397655,10153,2295000,10153,2295000,10153,0,10154,100,
10054,1,10254,1397655,10253,2295000,10254,2295000,10254,0,10254,100,
10154,1,10355,1397655,10354,2295000,10354,2295000,10354,0,10354,100,
10255,1,10455,1397655,10454,2295000,10454,2295000,10454,0,10455,100,
