App,Package,Start Time,Duration,Filename
"System",,"Jun 26, 2018 @ 10:47:28 PM","2 min 22 sec","Trepn_2018.06.26_224728.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,35,265554,34,2295000,35,2295000,35,0,35,19,
36,1,136,419296,134,2295000,135,2295000,135,0,136,30,
136,1,236,279531,235,2295000,235,2295000,235,0,236,20,
236,1,336,1397655,335,2295000,336,2295000,335,0,336,100,
336,1,436,349413,435,2295000,436,2295000,436,0,436,25,
436,1,537,223624,536,2295000,536,2295000,536,0,536,16,
537,1,637,153742,636,2295000,636,2295000,636,0,637,11,
637,1,737,1257889,736,2295000,737,2295000,736,0,737,90,
737,1,838,922452,837,2295000,837,2295000,837,0,838,66,
838,1,940,1397655,939,2295000,939,2295000,939,0,940,100,
946,1,1040,1397655,1039,2295000,1039,2295000,1039,0,1040,100,
1040,1,1140,1397655,1139,2295000,1140,2295000,1140,0,1140,100,
1140,1,1243,1397655,1242,2295000,1242,2295000,1242,0,1243,100,
1243,1,1343,1397655,1342,2295000,1342,2295000,1342,0,1343,100,
1343,1,1443,1397655,1442,2295000,1442,2295000,1442,0,1443,100,
1443,1,1543,1397655,1542,2295000,1543,2295000,1543,0,1543,100,
1543,1,1648,1397655,1647,2295000,1647,2295000,1647,0,1648,100,
1648,1,1748,698827,1747,2295000,1748,2295000,1747,0,1748,50,
1748,1,1849,978358,1848,2295000,1848,2295000,1848,0,1849,70,
1849,1,1950,1397655,1948,2295000,1949,2295000,1949,0,1949,100,
1950,1,2050,1118124,2049,2295000,2049,2295000,2049,0,2050,80,
2050,1,2150,1118124,2149,2295000,2149,2295000,2149,0,2150,80,
2150,1,2250,503155,2249,2295000,2250,2295000,2249,0,2250,36,
2250,1,2351,69768,2349,1530000,2350,1530000,2350,0,2351,10,
2351,1,2452,0,2450,1530000,2451,1530000,2450,0,2452,0,
2452,1,2554,0,2551,561000,2552,561000,2552,0,2554,0,
2554,1,2657,14137,2652,510000,2654,510000,2653,0,2656,11,
2657,1,2756,23133,2752,510000,2754,510000,2753,0,2756,18,
2756,1,2854,125582,2853,1530000,2853,1530000,2853,0,2854,18,
2854,1,2954,209303,2953,1530000,2953,1530000,2953,0,2954,30,
2954,1,3058,27535,3054,535500,3056,535500,3055,0,3058,20,
3058,1,3160,14137,3155,510000,3156,510000,3156,0,3160,11,
