App,Package,Start Time,Duration,Filename
"System",,"Jun 24, 2018 @ 05:45:30 PM","1 min 2 sec","Trepn_2018.06.24_174530.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
3,1,3,251577,0,2295000,1,2295000,1,0,3,18,
44,1,105,880522,103,2295000,104,2295000,104,0,105,63,
105,1,205,379831,204,1836000,204,1836000,204,0,205,40,
205,1,305,468840,304,1938000,305,1938000,304,0,305,45,
305,1,405,251577,404,2295000,405,2295000,405,0,405,18,
405,1,506,125788,505,2295000,505,2295000,505,0,506,9,
506,1,606,838593,605,2295000,605,2295000,605,0,606,60,
606,1,706,0,705,2295000,706,2295000,706,0,706,0,
706,1,807,978358,806,2295000,806,2295000,806,0,807,70,
807,1,907,1002435,906,2014500,907,2014500,906,0,907,90,
907,1,1009,1397655,1006,2295000,1007,2295000,1007,0,1009,100,
1009,1,1108,861451,1107,1734000,1107,1734000,1107,0,1108,100,
1108,1,1208,949579,1207,1836000,1207,1836000,1207,0,1208,100,
1208,1,1308,861451,1307,1734000,1307,1734000,1307,0,1308,100,
1308,1,1409,949579,1407,1836000,1408,1836000,1408,0,1409,100,
1409,1,1509,1290799,1508,2193000,1508,2193000,1508,0,1509,100,
1509,1,1610,949579,1608,1836000,1609,1836000,1608,0,1609,100,
1610,1,1710,1397655,1708,2295000,1709,2295000,1709,0,1710,100,
1710,1,1812,949579,1810,1836000,1811,1836000,1811,0,1812,100,
1812,1,1914,689160,1913,1734000,1913,1734000,1913,0,1914,80,
1924,1,2013,854621,2011,1836000,2012,1836000,2012,0,2013,90,
2013,1,2113,854621,2112,1836000,2112,1836000,2112,0,2113,90,
2113,1,2213,474789,2212,1836000,2212,1836000,2212,0,2213,50,
2213,1,2313,949579,2312,1836000,2313,1836000,2313,0,2313,100,
2313,1,2414,379831,2412,1836000,2413,1836000,2413,0,2414,40,
2414,1,2514,104453,2513,1836000,2514,1836000,2513,0,2514,11,
2514,1,2618,32130,2614,510000,2616,510000,2615,0,2618,25,
2618,1,2719,23133,2715,510000,2716,510000,2715,0,2718,18,
2719,1,2818,47764,2815,637500,2816,637500,2816,0,2818,27,
2818,1,2919,13767,2916,535500,2917,535500,2916,0,2919,10,
2919,1,3020,12852,3016,510000,3017,510000,3017,0,3020,10,
3020,1,3118,460468,3116,1530000,3117,1530000,3116,0,3118,66,
3118,1,3220,19459,3217,637500,3218,637500,3218,0,3220,11,
3220,1,3323,12852,3319,510000,3321,510000,3320,0,3323,10,
3323,1,3429,12852,3420,510000,3425,510000,3423,0,3428,10,
3429,1,3522,0,3520,1530000,3521,1530000,3520,0,3521,0,
3522,1,3630,12852,3621,510000,3623,510000,3622,0,3627,10,
3631,1,3723,488375,3721,1530000,3722,1530000,3722,0,3723,70,
3723,1,3823,418607,3822,1530000,3822,1530000,3822,0,3823,60,
3823,1,3923,903559,3922,2193000,3922,2193000,3922,0,3923,70,
