App,Package,Start Time,Duration,Filename
"System",,"Jun 24, 2018 @ 06:35:45 PM","1 min 2 sec","Trepn_2018.06.24_183545.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
1,1,1,223624,0,2295000,0,2295000,0,0,1,16,
12,1,102,208907,101,1836000,102,1836000,101,0,102,22,
102,1,204,208907,203,1836000,204,1836000,203,0,204,22,
204,1,305,922452,303,2295000,304,2295000,304,0,304,66,
305,1,405,1397655,404,2295000,404,2295000,404,0,405,100,
405,1,505,1397655,504,2295000,504,2295000,504,0,505,100,
505,1,605,1397655,604,2295000,604,2295000,604,0,605,100,
605,1,706,1397655,705,2295000,705,2295000,705,0,706,100,
706,1,808,880522,807,2295000,808,2295000,807,0,808,63,
808,1,909,861451,907,1734000,908,1734000,908,0,909,100,
909,1,1012,1188106,1009,1734000,1011,2091000,1010,0,1012,100,
1012,1,1113,1397655,1111,2295000,1111,2295000,1111,0,1113,100,
1113,1,1215,861451,1211,1734000,1214,1734000,1214,0,1215,100,
1215,1,1313,1397655,1311,2295000,1312,2295000,1312,0,1313,100,
1313,1,1413,1397655,1412,2295000,1412,2295000,1412,0,1413,100,
1413,1,1513,1397655,1512,2295000,1513,2295000,1512,0,1513,100,
1513,1,1614,861451,1613,1734000,1613,1734000,1613,0,1614,100,
1614,1,1714,1397655,1713,2295000,1713,2295000,1713,0,1714,100,
1714,1,1815,949579,1813,1836000,1814,1836000,1814,0,1815,100,
1815,1,1916,949579,1915,1836000,1915,1836000,1915,0,1916,100,
1916,1,2016,949579,2015,1836000,2015,1836000,2015,0,2016,100,
2016,1,2120,949579,2119,1836000,2119,1836000,2119,0,2120,100,
2120,1,2220,929375,2219,2193000,2219,2193000,2219,0,2220,72,
2220,1,2321,313361,2319,1836000,2320,1836000,2319,0,2320,33,
2321,1,2421,94957,2419,1836000,2420,1836000,2420,0,2421,10,
2421,1,2523,0,2520,1122000,2521,1122000,2521,0,2523,0,
2523,1,2627,0,2622,535500,2624,535500,2623,0,2627,0,
2628,1,2727,11566,2723,510000,2724,510000,2724,0,2727,9,
2727,1,2828,0,2823,510000,2825,510000,2824,0,2828,0,
2828,1,2927,25704,2923,510000,2925,510000,2924,0,2927,20,
2927,1,3041,19459,3024,637500,3027,637500,3025,0,3038,11,
3041,1,3127,45993,3124,714000,3125,714000,3125,0,3127,22,
3127,1,3229,230234,3227,1530000,3227,1530000,3227,0,3229,33,
3229,1,3330,31354,3327,586500,3328,586500,3327,0,3330,20,
3330,1,3435,20563,3428,510000,3432,510000,3430,0,3435,16,
3435,1,3534,76744,3530,510000,3531,1530000,3531,0,3534,11,
3534,1,3631,62791,3629,1530000,3630,1530000,3629,0,3631,9,
3631,1,3736,16521,3731,535500,3732,535500,3732,0,3735,12,
3736,1,3833,306979,3831,1530000,3832,1530000,3831,0,3833,44,
3833,1,3932,129079,3931,2193000,3931,2193000,3931,0,3932,10,
3932,1,4036,0,4032,510000,4033,510000,4033,0,4036,0,
4036,1,4137,12852,4133,510000,4134,510000,4134,0,4137,10,
4138,1,4236,230234,4233,1530000,4234,1530000,4234,0,4236,33,
4236,1,4334,83721,4333,1530000,4333,1530000,4333,0,4334,12,
4334,1,4443,14709,4434,561000,4436,561000,4435,0,4440,10,
4443,1,4535,188373,4534,1530000,4534,1530000,4534,0,4535,27,
4535,1,4641,0,4635,510000,4637,510000,4636,0,4641,0,
4642,1,4742,12852,4736,510000,4738,510000,4738,0,4741,10,
4742,1,4840,35381,4837,637500,4838,637500,4837,0,4840,20,
4840,1,4938,0,4937,1530000,4937,1530000,4937,0,4938,0,
4938,1,5039,0,5037,1530000,5038,1530000,5038,0,5039,0,
5039,1,5145,12852,5139,510000,5140,510000,5139,0,5145,10,
5145,1,5241,313955,5239,1530000,5240,1530000,5239,0,5241,45,
5241,1,5345,25704,5340,510000,5342,510000,5341,0,5344,20,
5345,1,5447,38556,5440,510000,5442,510000,5441,0,5447,30,
5447,1,5545,28274,5541,510000,5542,510000,5542,0,5545,22,
5546,1,5646,14137,5642,510000,5643,510000,5642,0,5646,11,
5646,1,5746,15144,5742,535500,5744,535500,5743,0,5746,11,
5746,1,5847,38556,5843,510000,5845,510000,5844,0,5847,30,
5847,1,5947,12852,5943,510000,5944,510000,5944,0,5947,10,
5947,1,6052,14137,6045,510000,6046,510000,6046,0,6050,11,
6052,1,6146,287669,6144,1632000,6145,1632000,6145,0,6146,37,
6146,1,6247,279072,6245,1530000,6246,1530000,6246,0,6247,40,
6247,1,6355,42411,6346,510000,6348,510000,6347,0,6354,33,
6355,1,6453,25704,6447,510000,6449,510000,6449,0,6453,20,
6453,1,6554,14137,6548,510000,6550,510000,6549,0,6553,11,
6554,1,6656,0,6649,510000,6653,510000,6650,0,6655,0,
6656,1,6762,23133,6750,510000,6753,510000,6752,0,6762,18,
6762,1,6851,153489,6849,1530000,6850,1530000,6850,0,6851,22,
6851,1,6955,16180,6951,561000,6952,561000,6952,0,6954,11,
6955,1,7059,79607,7054,637500,7056,637500,7056,0,7059,45,
7060,1,7158,25704,7152,510000,7155,510000,7154,0,7158,20,
7159,1,7256,230234,7253,1530000,7254,1530000,7254,0,7256,33,
7256,1,7357,0,7354,714000,7355,714000,7354,0,7357,0,
7357,1,7458,0,7454,637500,7456,637500,7455,0,7458,0,
7458,1,7556,69768,7554,1530000,7555,1530000,7555,0,7556,10,
7556,1,7659,0,7655,510000,7657,510000,7656,0,7659,0,
7659,1,7760,13767,7756,535500,7758,535500,7757,0,7760,10,
7761,1,7861,34700,7857,510000,7859,510000,7858,0,7861,27,
7861,1,7963,46267,7958,510000,7960,510000,7958,0,7962,36,
7963,1,8063,20563,8059,510000,8060,510000,8059,0,8063,16,
8063,1,8163,28274,8159,510000,8161,510000,8160,0,8163,22,
8164,1,8264,306979,8261,1530000,8262,1530000,8262,0,8263,44,
8264,1,8369,0,8362,510000,8365,510000,8363,0,8368,0,
8370,1,8464,0,8462,1530000,8463,1530000,8462,0,8464,0,
8464,1,8567,0,8563,535500,8564,535500,8564,0,8567,0,
8567,1,8667,15677,8663,586500,8665,586500,8664,0,8667,10,
8667,1,8769,0,8765,510000,8766,510000,8765,0,8769,0,
8769,1,8874,23133,8865,510000,8870,510000,8869,0,8873,18,
8874,1,8966,0,8965,1530000,8965,1530000,8965,0,8966,0,
8966,1,9066,139536,9065,1530000,9066,1530000,9065,0,9066,20,
9067,1,9171,12852,9166,510000,9168,510000,9167,0,9170,10,
9171,1,9268,251164,9266,1530000,9267,1530000,9267,0,9268,36,
9268,1,9373,12852,9368,510000,9370,510000,9369,0,9372,10,
9373,1,9472,12852,9468,510000,9469,510000,9469,0,9472,10,
9472,1,9575,11566,9570,510000,9572,510000,9571,0,9574,9,
9575,1,9672,125582,9670,1530000,9671,1530000,9671,0,9672,18,
9672,1,9772,0,9771,1530000,9771,1530000,9771,0,9772,0,
9772,1,9877,0,9872,612000,9874,612000,9873,0,9876,0,
9877,1,9978,0,9973,510000,9975,510000,9974,0,9977,0,
9978,1,10079,0,10074,510000,10076,510000,10075,0,10078,0,
10079,1,10181,12852,10175,510000,10177,510000,10177,0,10180,10,
10181,1,10276,313955,10275,1530000,10275,1530000,10275,0,10276,45,
10276,1,10380,12852,10376,510000,10377,510000,10377,0,10380,10,
10380,1,10477,188373,10476,1530000,10476,1530000,10476,0,10477,27,
10477,1,10586,0,10581,637500,10584,1530000,10582,0,10585,0,
10586,1,10678,0,10677,1530000,10677,1530000,10677,0,10678,0,
10678,1,10782,23133,10778,510000,10779,510000,10778,0,10782,18,
10782,1,10885,11566,10879,510000,10881,510000,10880,0,10885,9,
10885,1,10980,230234,10978,1530000,10979,1530000,10978,0,10980,33,
10980,1,11086,14109,11079,586500,11082,586500,11081,0,11085,9,
11086,1,11185,33341,11180,612000,11182,612000,11181,0,11185,20,
11186,1,11282,251164,11280,1530000,11281,1530000,11280,0,11282,36,
11282,1,11386,0,11382,535500,11383,535500,11383,0,11386,0,
11386,1,11483,76744,11482,1530000,11482,1530000,11482,0,11483,11,
11483,1,11583,0,11582,1530000,11582,1530000,11582,0,11583,0,
11583,1,11687,17244,11683,586500,11684,586500,11684,0,11687,11,
11688,1,11789,0,11784,586500,11786,586500,11785,0,11789,0,
11789,1,11885,69768,11884,1530000,11884,1530000,11884,0,11885,10,
11885,1,11989,13767,11985,535500,11986,535500,11986,0,11989,10,
11989,1,12089,0,12085,510000,12087,510000,12086,0,12089,0,
12090,1,12190,20563,12186,510000,12187,510000,12187,0,12190,16,
12190,1,12290,70762,12286,637500,12288,637500,12287,0,12290,40,
12290,1,12388,62791,12387,1530000,12387,1530000,12387,0,12388,9,
12388,1,12489,279072,12487,1530000,12488,1530000,12488,0,12489,40,
12489,1,12593,15921,12589,637500,12590,637500,12590,0,12592,9,
12593,1,12693,0,12689,510000,12691,510000,12690,0,12693,0,
12694,1,12798,12852,12792,510000,12794,510000,12793,0,12798,10,
12798,1,12896,25704,12892,510000,12893,510000,12893,0,12896,20,
12896,1,12998,0,12992,510000,12994,510000,12993,0,12997,0,
12998,1,13096,38919,13093,637500,13094,637500,13093,0,13096,22,
13096,1,13199,23133,13194,510000,13196,510000,13195,0,13199,18,
13199,1,13295,341848,13293,1836000,13294,1836000,13294,0,13295,36,
13295,1,13398,0,13395,637500,13396,637500,13396,0,13398,0,
13398,1,13499,31843,13495,637500,13497,637500,13496,0,13499,18,
13499,1,13601,125582,13598,1530000,13599,1530000,13598,0,13601,18,
13602,1,13706,34700,13698,510000,13701,510000,13700,0,13706,27,
13707,1,13803,15422,13799,510000,13800,510000,13800,0,13803,12,
13803,1,13904,14137,13899,510000,13901,510000,13900,0,13903,11,
13904,1,14004,23133,14000,510000,14001,510000,14001,0,14004,18,
14004,1,14107,25704,14101,510000,14103,510000,14102,0,14107,20,
14108,1,14222,36773,14217,561000,14219,561000,14218,0,14221,25,
14222,1,14318,12852,14314,510000,14315,510000,14314,0,14317,10,
14318,1,14416,230234,14413,1530000,14414,1530000,14414,0,14416,33,
14416,1,14514,189915,14513,1836000,14514,1836000,14514,0,14514,20,
